RT,acc_spd,accuracy,angle,block,coherence,dataset,id,left_right,subj_idx,tdcs,trial_NR
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,90
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,91
439,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,92
480,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,93
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,94
467,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,95
480,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,96
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,97
519,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,98
640,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,99
467,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,100
813,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,101
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,102
453,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,103
427,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,104
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,105
427,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,106
400,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,107
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,108
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,109
574,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,110
626,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,111
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,112
546,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,113
559,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,114
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,115
507,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,116
667,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,117
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,118
614,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,119
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,120
453,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,121
453,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,122
493,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,123
453,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,124
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,125
720,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,126
587,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,127
480,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,128
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,129
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,130
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,131
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,132
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,133
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,134
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,135
427,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,136
467,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,137
467,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,138
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,139
480,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,140
573,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,141
466,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,142
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,143
493,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,144
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,145
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,146
560,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,147
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,148
506,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,149
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,150
639,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,151
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,152
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,153
506,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,154
773,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,155
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,156
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,157
506,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,158
466,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,159
426,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,160
